id|enun|op1|op2|op3|op4|op5|resp|year|idimg
143|Mujer de 56 años que presenta en los últimos años clínica de vértigo rotatorio, recurrente, en forma de episodios que se inician con sensación de plenitud ótica derecha, que duran entre 2 y 3 horas y que posteriormente durante unos días cursa con inestabilidad. Asimismo la paciente refiere acúfenos en oído derecho e hipoacusia fluctuante. A la paciente se le ha practicado una RM craneal informada como normal y una audiometría que evidencia una hipoacusia neurosensorial moderada en oído derecho. ¿Cuál es el diagnóstico más probable?|Vértigo posicional paroxístico benigno.|Vértigo de origen central.|Enfermedad de Ménière.|Schwannoma del nervio vestibular.|Neuritis vestibular.|3|2013|0
144|¿Cuál es el tratamiento de primera elección de la degeneración macular húmeda asociada a la edad?|Triamcinolona intravítrea.|Terapia fotodinámica.|Ranibizumab intravítreo.|Plasmina intravítrea.|Somatostatina intravítrea.|3|2013|0
145|Mujer de 30 años y antecedentes patológicos de esclerosis múltiple que acude por miodesopsias en ambos ojos de una semana de evolución. La exploración de fondo de ojo muestra vitritis, conglomerados inflamatorios en forma de "bolas de nieve" en cavidad vítrea inferior y periflebitis periférica en ambos ojos. ¿Cuál es su diagnóstico?|Uveítis anterior.|Coroiditis punteada interna.|Uveítis intermedia.|Neuritis óptica.|Síndrome de manchas blancas.|3|2013|0
146|Paciente de 61 años con antecedentes de HTA y Diabetes Mellitus que consulta por diplopia de inicio brusco. En la exploración oftalmológica presenta ptosis ojo derecho, limitación de la adducción, supra e infraducción y movimientos pupilares conservados. El diagnóstico mas probable es:|Migraña oftalmopléjica.|Isquemia microvascular.|Paralisis postraumática.|Neoplasia.|Aneurisma de la arteria comunicante posterior.|2|2013|0
147|Una conjuntivitis con aparición de papilas con un infiltrado difuso de celulas inflamatorias crónicas que incluyen linfocitos, celulas plasmáticas y eosinófilos puede aparecer en las siguientes patologías excepto una:|Abuso en la utilización de lentes de contacto.|Uveítis anterior aguda.|Queratoconjuntivitis vernal.|Queratoconjuntivitis límbica superior.|Blefaritis crónica.|2|2013|0
148|Una mujer de 65 años, previamente sana, consulta por metrorragia escasa de tres semanas de evolución. El examen ginecológico y la ecografía son normales. ¿Qué actitud tomaría?|Solicitar exploración pélvica con TC.|Tratamiento de prueba con anovulatorios.|Biopsia endometrial.|Realizar estudio de coagulación.|Histerectomía.|3|2013|0
149|En relación al síndrome de ovario poliquístico, es cierto que:|No existe una imagen ecográfica ovárica característica.|Es una endocrinopatía muy poco frecuente en mujeres en edad reproductiva.|Clínicamente, es típico en este síndrome la polimenorrea, obesidad e hirsutismo.|Habitualmente la concentración sérica de FSH es mayor que la de LH.|Existe un mayor riesgo a largo plazo de desarrollar diabetes mellitus y carcinoma endometrial.|5|2013|0
150|¿Cuál de éstas NO sería una indicación directa para la realización de un ciclo de Fecundación in Vitro?.|Endometriosis severa.|Obstrucción tubárica bilateral.|Oligoastenoteratozoospermia moderada.|Síndrome de ovario poliquístico.|Cinco ciclos fallidos de inseminación intraconyugal.|4|2013|0
151|Gestante de 36 semanas, primigesta, es trasladada al hospital para valoración tras accidente de coche en cadena en la autopista, presentando dolor cervicodorsal. Durante la exploración la paciente inicia dolor abdominal intenso, leve sangrado vaginal oscuro y aumento mantenido del tono uterino. ¿Qué diagnóstico le parece el más probable?|Amenaza de parto prematuro.|Rotura de vasa previa.|Rotura uterina.|Rotura esplénica con hemoperitoneo.|Desprendimiento prematuro de placenta normoinserta.|5|2013|0
152|Mujer de 26 años, primigesta de 32 semanas acude a urgencias por dolor cólico y lumbalgia. No refiere pérdida de líquido. A la exploración no se observan sangrado ni líquido amniótico en vagina. Se confirma latido cardiaco fetal normal y la ecografía vaginal nos informa de un acortamiento cervical del 60%. En los primeros 10 minutos de vigilancia cardiotocográfica presenta 3 contracciones. ¿Qué pensaría como primera opción en esta paciente?|Corticoesteroides y tratamiento tocolítico.|Ecografías seriadas.|Sulfato de Magnesio.|Hidratación intravenosa.|Antibióticos.|1|2013|0
153|¿Cuál es el tratamiento antibiótico ambulatorio de elección en la enfermedad inflamatoria pélvica leve/moderada?|Ceftriaxona y doxiciclina.|Metronidazol.|Azitromicina.|Amoxicilina-clavulánico y doxicilina.|Clindamicina y gentamicina.|1|2013|0
154|Gestante de 32 semanas, secundigesta, con antecedente de pre-eclampsia en la gestación anterior. Presenta altura uterina y biometría ecográfica fetal menor que amenorrea (desfase -3 semanas). ¿Qué exploración diagnóstica solicitaría?|Valoración cervical ecográfica.|Curva de glucemia.|Hematocrito.|Flujometría Doppler feto-placentaria.|Test de nitracina.|4|2013|0
155|En relación a la Neoplasia Trofoblástica Gestacional, no es cierto que:|En la mola parcial, el cariotipo embrionario es diploide en el 90% de los casos.|Engloba una serie de neoplasias que tienen en común una producción aumentada de Beta-HCG.|En la mola total es frecuente la aparición de hiperemesis gravídica muy precoz y severa.|En la etiología de la mola completa, el origen es paterno.|El síntoma más frecuente de la mola total es la hemorragia genital.|1|2013|0
156|En relación al aumento de la prevalencia de sobrepeso y obesidad en la población infantil, todas las siguientes afirmaciones son ciertas EXCEPTO una:|El rápido aumento de la prevalencia experimentado en últimas décadas es atribuído a causas genéticas.|El empleo de los estándares de crecimiento de la Organización Mundial de la Salud facilita la comparación entre estudios realizados en distintos países.|La prevalencia es mayor en quienes toman un desayuno escaso o lo omiten.|La medición de obesidad y sobrepeso se realiza mediante el cálculo del índice de masa corporal.|El bajo nivel educativo de los padres y las condiciones económicas negativas, se consideran factores de riesgo.|1|2013|0
157|A un adolescente asintomático se le practica un ECG que muestra ritmo sinusal y bloqueo de rama derecha. En la exploracion física se ausculta un segundo ruido desdoblado y en la radiografia de torax se objetiva un arco pulmonar prominente. ¿Cuál sería su sospecha diagnóstica?|Persistencia de ductus arterial.|Estenosis pulmonar.|Comunicación interventricular.|Comunicación interauricular.|Tetralogía de Fallot.|4|2013|0
158|La leche humana es el alimento natural y apropiado durante el primer año de vida. ¿Cuál de las siguientes aseveraciones al respecto NO es cierta?|No se ha documentado la transmisión de infección por VIH por la leche materna.|La lecha humana contiene anticuerpos bacterianos y víricos.|La leche humana cotniene lactoferrina, que tiene un efecto inhibitorio en el crecimeinto de E. coli.|Están bien reconocidas las ventajas psicológicas de la lactancia al pecho tanto para la madre como para el niño.|La lactancia natural se asocia con una menor incidencia de alergia o intolerancia a la leche de vaca.|1|2013|0
159|Los padres de un lactante de 5 meses acuden porque su hijo, que asiste a guardería, presenta desde hace 3 días, coincidiendo con una infección respiratoria de vías altas, heces líquidas en número de 4 al día, algún vómito alimentario ocasional y temperatura axilar de 38.3ºC. Es alimentado con lactancia mixta. A la exploración, el lactante tienen buen estado general, está bien nutrido e hidratado y su respiración es eupnéica; su peso es de 4.730 g y ha descendido 70 g respecto al de la semana anterior. El abdomen está blando y depresible, sin masas ni megalias, y la fontanela, normotensa. Salvo la presencia de rinorrea acuosa, el resto de la exploración por órganos y aparatos es normal. De las siguientes afirmaciones, señale la respuesta que considera CORRECTA:|Se ha de aconsejar reponer las pérdidas tras cada deposición, con solución rehidratante oral, y continuar con su alimentación habitual.|Es aconsejable la introducción de cereales de arroz por su efecto astringente.|Se debe realizar una estimación de las pérdidas, recomendar un ayuno de 4 horas y rehidratar durante este tiempo con solución rehidratante oral.|Se debe realizar coprocultivo tan pronto como sea posible para excluir un origen bacteriano.|Se debe recomendar el empleo de fórmula sin lactosa.|1|2013|0
160|En un lactante de 3 meses de edad todas las manifestaciones clínicas reseñadas a continuación obligarían a descartar una Fibrosis Quística, EXCEPTO:|Deterioro/detención de la curva ponderal.|Sabor salado de la piel.|Retraso en la evacuación del meconio.|Deshidratación hipernatrémica.|Aislamiento en secreciones de Pseudomonas aeruginosa.|4|2013|0
161|Niña de 3 años, procedente de Bangladesh, que consulta por episodios febriles intermitentes de 3 semanas de evolución, asociados a debilidad y pérdida de apetito. A la exploración física llama la atención esplenomegalia marcada y palidez mucocutánea. En las pruebas complementarias destaca: hemoglobina 8,5 mg/dL, hematocrito 26%, VCM 86 fL, HCM 29 pg, leucocitos 2800/mL con 300 neutrófilos/mL, plaquetas 54000/mL, GOT 85 U/L, GPT 92 U/L e hipergammaglobulinemia policlonal en proteinograma de suero. Señale el diagnóstico más probable con los datos disponibles hasta este momento:|Leishmaniasis visceral.|Linfoma de Burkitt.|Malaria crónica.|Leucemia linfoblástica aguda.|Tuberculosis miliar.|1|2013|0
162|Acude de urgencia al centro de salud, un niño de 15 meses de edad, que durante la cena, tras ingerir un bocado de tortilla, presenta de forma súbita: enrojecimiento facial de predominio perioral, lesiones habonosas en tronco y extremidades, y tos. A su llegada al centro se encuentra consciente y se objetiva, además de lo descrito: tiraje supraesternal, rinorrea acuosa abundante, hipoventilación bilateral sin sibilancias, y relleno capilar inferior a 2 segundos. De las siguientes afirmaciones, señale la respuesta CORRECTA:|La metilprednisolona por vía intramuscular es el tratamiento de elección.|Se trata de un cuadro de urticaria asociado a asma, y debe ser tratado con antihistamínicos y broncodilatadores inhalados.|Se debe administrar sin más dilación, adrenalina por vía intramuscular.|Se debe recomendar a los padres su traslado a un Servicio de Urgencias hospitalario|Lo prioritario es canalizar una vía venosa.|3|2013|0
163|Niño de 4 años de edad que consulta por aparición a lo largo de los últimos tres días, de lesiones cutáneas en piernas y glúteos. Sus padres referían que su pediatra le había diagnosticado una infección de vías respiratorias superiores 10 días antes. En las últimas 12 horas presenta dolor abdominal intenso tipo cólico, y ha realizado dos deposiciones diarréicas. Afebril. No pérdida de peso. A la exploración presenta numerosas petequias y lesiones purpúricas palpables de predominio en glúteos y extremidades inferiores. Buen estado general aunque tiene dolor abdominal intenso. La palpación abdominal es difícil de valorar por dolor difuso. No visceromegalias. No otros hallazgos de interés a la exploración. ¿Cual de los siguientes datos NO apoya su sospecha diagnóstica?|Sangre oculta en heces.|Artritis de rodillas y tobillos.|Edema escrotal.|Hematuria.|Plaquetopenia.|5|2013|0
164|¿Cuándo se aconseja intervenir quirúrgicamente la hernia umbilical infantil?|Con el fin de utilizar prótesis en la cirugía, se recomienda esperar a que el paciente sea mayor.|Se debe intervenir cuanto antes para evitar el riesgo de estrangulación.|Ante la sospecha de que se trate de un onfalocele.|A partir de los 3 ó 4 años de vida, al ser frecuente su cierre espontáneo antes de esa edad.|Si el niño presentara vómitos durante los accesos febriles.|4|2013|0
165|La existencia de alucinaciones y de alteraciones de la conciencia es propia de:|Los estados psicóticos.|Los estados maníacos.|Los estados confusionales.|Los estados depresivos.|Los estados ansiosos.|3|2013|0
166|¿Cuál de los siguientes hallazgos biológicos no es propio en una persona con bulimia nerviosa que presenta episodios de atracones y vómitos autoinducidos?|Miocardiopatía.|Hiperpotasemia.|Hipertrofia parotídea.|Sobrepeso.|Peso normal.|2|2013|0
167|Muchacha de 19 años estudiante, sin antecedentes personales somáticos ni psiquiátricos relevantes que es llevada a urgencias hospitalarias por su familia por ingesta masiva de pastillas. El intento autolítico no había tenido providencia de rescate, siendo la paciente encontrada por su madre casualmente al volver a su casa antes de lo que tenía previsto. Una vez estabilizada orgánicamente la paciente refería presentar desde unas 4 semanas atrás un cuadro de tristeza, anhedonia, desesperanza, sentimientos de culpa y deseos de muerte, inhibición psicomotriz y enlentecimiento del pensamiento, dificultad de concentración y rendimiento en los estudios, aislamiento social, hipersomnia diurna y empeoramiento matutino de los síntomas. Así mismo la paciente refería tener la sensación de que sus vecinos la espiaban, hablaban de ella cuando salía y se reían de ella lo que había incrementado su angustia. No sabía el motivo por el que la gente se fijaba en ella pero estaba convencida de que no eran imaginaciones suyas. Señale el diagnóstico:|Trastorno de ideas delirantes persistentes.|Trastorno de personalidad esquizoide.|Esquizofrenia.|Trastorno depresivo con síntomas psicóticos.|Trastorno distímico.|4|2013|0
168|Al servicio de urgencias hospitalario acude un joven de 24 años de edad, sin antecedentes somáticos ni psiquiátricos relevantes, por presentar un cuadro de aparición brusca que se inició mientras compraba en una gran superficie y que se caracteriza sintomáticamente por: dolor torácico, palpitaciones, dificultad subjetiva para respirar con hiperventilación, sensación de mareo, temblor, escalofríos y sensación de extrañeza con el entorno (desrealización). El diagnóstico diferencial debería incluir todos los siguientes cuadros excepto:|Trastorno de estrés post-traumático.|Crisis de pánico.|Síndrome de abstinencia a sustancias.|Intoxicación por anfetaminas.|Feocromocitoma.|1|2013|0
169|¿Cómo actúan la Cianamida o el Disulfiram en un paciente alcohólico?|Por su efecto estabilizador del ánimo posibilitan un mayor control del consumo.|Reducen el efecto del alcohol en el organismo, disminuyendo el posible efecto positivo de un nuevo consumo.|Anulan el efecto del alcohol en el organismo, actuando como antagonistas.|Ocupan los receptores GABA, reduciendo el ansia de consumo.|Incrementan el efecto tóxico del alcohol, desmotivando al paciente de cara a nuevos consumos.|5|2013|0
170|Lo más probable es que las preguntas específicas directas acerca del suicidio planteadas al comienzo de una entrevista con un paciente deprimido:|Alarmen al paciente.|Aumenten la resistencia al cambio terapéutico.|Refuercen una ganancia secundaria.|Carezcan de influencia en la probabilidad de un intento de suicidio.|Sean más eficaces si se realizan de manera prudente e indirecta.|4|2013|0
171|En el diagnóstico diferencial entre paranoia y esquizofrenia, es FALSO que:|El delirio es más comprensible en la paranoia.|Los temas persecutorios aparecen en ambas entidades.|Ambas entidades aparecen clásicamente en las mismas edades.|El Yo está más desestructurado en la esquizofrenia.|Los síntomas disociativos son típicos de la esquizofrenia.|3|2013|0
172|En un contraste de hipótesis estadístico, ¿a qué definición corresponde con mas exactitud el valor "p"?|La probabilidad de observar los resultados del estudio si la hipótesis nula fuera cierta.|La probabilidad de observar los resultados del estudio, u otros más alejados de la hipótesis nula, si la hipótesis nula fuera cierta.|La probabilidad de que los resultados observados sean debidos al azar.|La probabilidad de que la hipóstesis nula sea cierta.|La probabilidad de observar los resultados del estudio, u otros más alejados de la hipoótesis nula, si la hipótesis alternativa fuera cierta.|2|2013|0
173|En una población, el valor medio del colesterol total es de 216 mg/dL, con una desviación típica de 5 mg/dL. El porcentaje de personas cuyo nivel de colesterol es mayor de 226 mg/dL es, aproximadamente:|El 10%.|El 2,5%.|El 0,025%.|El 0,5%.|El 5%.|2|2013|0
174|La prueba kappa o test de Cohen:|Tiende a disminuir su valor al aumentar el número de categorías de la prueba diagnóstica.|Se mantiene estable para una misma prueba diagnóstica tanto si se utiliza como cribado o prueba clínica.|Mide la validez externa de una prueba diagnóstica.|Se mantiene estable para una misma prueba diagnóstica al modificar la frecuencia de la enfermedad.|Mide la validez interna de una prueba diagnóstica.|1|2013|0
175|¿Cuál de los siguientes parámetros mide el apuntamiento de una distribución?|El coeficiente de Fisher.|La varianza.|La curtosis.|La amplitud.|Los cuartiles.|3|2013|0
176|Durante los meses de octubre a diciembre de 2011 se procedió a la selección de 200 pacientes diagnosticados de EPOC a partir de los registros del programa correspondiente en el centro de salud, mediante un muestreo aleatorio sistemático. Las pacientes fueron evaluados mediante una espirometría, y respondieron a un cuestionario de calidad de vida y a otro sobre adherencia terapéutica. ¿Qué tipo de estudio epidemiológico se ha realizado?|Serie de casos.|Estudio de casos y controles.|Estudio de cohortes.|Ensayo clínico aleatorizado.|Estudio transversal.|5|2013|0
177|Un grupo de 1000 pacientes diagnosticados de Síndrome del Aceite Tóxico (SAT) fueron seguidos desde 1981 hasta 1995 junto con un número similar de vecinos sin dicho diagnóstico. Entre los pacientes con SAT se observó en 1995 un 20% con signos de neuropatía periférica frente a un 2% en los vecinos. Según el diseño descrito ¿de qué tipo de estudio se trata?|Estudio transversal.|Ensayo clínico controlado.|Estudio cuasiesperimental.|Estudio de cohortes.|Estudio de casos y controles.|4|2013|0
178|Se plantea comparar la eficacia de dos medicamentos antiepilépticos, ambos comercializados desde hace más de 5 años, en la epilepsia parcial refractaria. ¿Cuál de los siguientes diseños elegiría por implicar un menor riesgo de sesgos y para garantizar mejor que las distintas poblaciones de estudio son comparables?|Estudio de casos y controles.|Estudio de cohortes.|Estudio prospectivo de dos series de casos expuestos a ambos medicamentos.|Estudio retrospectivo del tratamiento de los casos de epilepsia refractaria y los resultados obtenidos.|Ensayo clínico controlado aleatorizado.|5|2013|0
179|En un estudio prospectivo en que compara un nuevo antiagregante (grupo experimental) frente al tratamiento habitual con ácido acetilsalicílico (grupo control) se han obtenido los siguientes resultados en la prevención de infartos de miocardio (IAM) a los 2 años de tratamiento: nuevo tratamiento, 25 IAM sobre 500 pacientes; tratamiento habitual, 50 IAM sobre 500 pacientes. ¿Cuál es el riego relativo de padecer un IAM con el nuevo tratamiento respecto al tratamiento habitual?|0,5.|5%.|2.|0,75.|60%.|1|2013|0
180|En un estudio en el que compara un nuevo antiagregante (grupo experimental) frente al tratamiento habitual con ácido acetil-salicílico (grupo control) se han obtenido los siguientes resultados en la prevención de infartos de miocardio (IAM) a los 2 años de tratamiento: nuevo tratamiento, 25 IAM sobre 500 pacientes; tratamiento habitual, 50 IAM sobre 500 pacientes. ¿Cuál es el número de pacientes necesario a tratar (NNT) que obtenemos para evitar un IAM si usamos el nuevo fármaco en lugar del acído acetil-salicílico?|100.|20.|50.|25.|5.|2|2013|0
181|En 2005, Goosens et al publicaron un estudio en el que observaron una buena correlación entre el uso poblacional de antibióticos y la tasa de resistencia a antimicrobianos. En dicho estudio la unidad de análisis fue cada uno de los 26 países europeos que participaron, ¿a qué tipo de diseño correspondería este estudio?|Estudio de intervención comunitaria.|Estudio transversal.|Estudio sociológico.|Estudio ecológico.|Estudio de cohorte de base poblacional.|4|2013|0
182|¿Qué es un estudio de casos y controles anidado?|Es el tipo de estudio de casos y controles que se realiza en poblaciones estáticas o cerradas en las que no se permita la entrada o salida de la misma.|Es el tipo de estudio de casos y controles en el que la serie de controles está muestreada aleatoriamente de la cohorte que da origen a los casos.|Es el tipo de estudio de casos y controles en el que tanto los casos como los controles se extraen del mismo hospital o centro de estudio.|Es el tipo de estudio de casos y controles que se realiza para estudiar los factores etiológicos de las malformaciones congénitas y que se llevan a cabo en las unidades de neonatología.|Es el tipo de estudio de casos y controles en el que la serie de controles está apareada con los casos en posibles factores de confusión.|2|2013|0
183|¿Qué principio ético requiere la solicitud de consentimiento informado del paciente para su participación en un ensayo clínico?|Beneficencia.|Autonomía.|Equidad.|Justicia.|No maleficencia.|2|2013|0
184|Respecto a los estudios de cohortes es cierto que:|Pueden ser retrospectivos.|El análisis de los datos consiste en determinar si la proporción de expuestos en el grupo de pacientes con la enfermedad difiere de la de los controles.|Se obtiene la prevalencia como medida de la frecuencia de la enfermedad.|Los sujetos son seleccionados en virtud de padecer o no la enfermedad sometida a estudio.|El azar decide la distribución de la exposición en los sujetos del estudio.|1|2013|0
185|¿Cómo se denomina al ensayo clínico en el que los pacientes, los investigadores y los profesionales sanitarios implicados en la atención de los pacientes desconocen el tratamiento asignado?|Doble ciego.|Abierto.|Enmascado.|Triple ciego.|Simple ciego.|1|2013|0
186|En los ensayos clínicos con frecuencia se analizan los datos según el principio de "análisis por intención de tratar" lo que significa que:|Se analizan los datos de todos los pacientes como pertenecientes al grupo al que fueron asignados, con independencia del tratamiento que hayan recibido.|Se excluyen del análisis a los pacientes que abandonan el estudio por presentar efectos adversos.|Se analizan sólo los datos de los pacientes que terminan el estudio.|Se analizan sólo los datos de los pacientes que cumplen el protocolo.|Se excluyen a los pacientes que abandonan el estudio por cualquier motivo antes de finalizar el estudio.|1|2013|0
187|¿Cuál de las siguientes afirmaciones sobre un ensayo clínico que evalúa la eficacia de un nuevo medicamento en el tratamiento de las crisis de migraña es FALSA?|Podría emplearse un diseño cruzado.|El ensayo debe llevarse a cabo inicialmente en adultos y posteriormente, si procede, realizar otros en ancianos y en población pediátrica.|No es necesario que el estudio sea doble ciego.|La asignación a los grupos que se comparan debe ser aleatoria.|Está justificado emplear placebo como brazo control si está previsto un tratamiento de rescate.|3|2013|0
188|Los ensayos clínicos de fase II (señale la respuesta cierta):|Regulatoriamente son estudios observacionales.|Constituyen la evidencia fundamental del beneficio-riesgo del medicamento.|Su objetivo principal es evaluar la seguridad y tolerabilidad de un medicamento.|Su objetivo principal es confirmar la efectividad de un medicamento en una patología concreta.|Se suelen realizar en grupos de pacientes no muy numerosos.|5|2013|0
189|¿A qué tipo de ensayo clínico nos referimos cuando los criterios de inclusión se ajustan a las indicaciones, con criterios de exclusión menos restrictivos para incluir una amplia representación de la enfermedad en estudio y fundamentar así el registro de un medicamento?|Estudio en fase III.|Estudio en fase II.|Estudio en fase I.|Estudio en fase IV.|Estudio piloto.|1|2013|0
190|¿En qué tipo de evaluación económica, tanto los costes como los resultados en salud se van a medir en unidades monetarias (euros, dólares, libras, etc.)?|Análisis coste-utilidad.|Análisis de minimización de costes.|Análisis coste-efectividad.|Análisis coste-beneficio.|Análisis de impacto presupuestario.|4|2013|0
191|¿Cómo clasificaría los costes de los análisis de sangre y de las pruebas complementarias efectuadas en un paciente para el tratamiento de su enfermedad?|Costes estructurales sanitarios.|Costes no sanitarios indirectos.|Costes indirectos sanitarios.|Costes intangibles.|Costes directos sanitarios.|5|2013|0
192|Una de las siguientes afirmaciones sobre el meta-análisis de ensayos clínicos es cierta:|Una de las desventajas de los modelos de efectos aleatorios es que conceden un peso excesivo a los estudios con pequeño tamaño muestral.|El meta-análisis consiste en el análisis estadístico del conjunto de resultados obtenidos en un ensayo clínico sobre diferentes cuestiones.|No es necesario valorar la calidad de los estudios incluidos.|La posible heterogeneidad de los estudios incluidos se suele examinar con el método conocido como el gráfico en embudo (funnel plot).|El análisis de sensibilidad no sirve para evaluar el sesgo de publicación.|1|2013|0
193|Si aplicamos una prueba de laboratorio para el diagnóstico de una determinada enfermedad que es dos veces más frecuente en hombres que en mujeres, ¿cuál de los siguientes parámetros será más elevado en la población femenina que en la masculina?|El valor predictivo positivo de la prueba.|La especificidad de la prueba.|El valor predictivo negativo de la prueba.|La prevalencia de la enfermedad.|La sensibilidad de la prueba.|3|2013|0
194|En la evaluación de una prueba diagnóstica de una enfermedad hemos encontrado una razón de verosimilitud positiva (RVP) de 7. ¿Qué indica este resultado?:|Que el resultado positivo es proporcionalmente 7 veces más frecuente en los no enfermos que en los enfermos.|Que el resultado positivo es proporcionalmente 7 veces más frecuente en los enfermos que en los no enfermos.|Que la contribución del resultado positivo de la prueba es pobre en el diagnóstico de la enfermedad.|Que el resultado negativo es proporcionalmente 7 veces más frecuente en los enfermos que en los no enfermos.|Que la sensibilidad y la especificidad son < 0,5.|2|2013|0
195|La prueba diagnóstica que se aplica para el cribado de una enfermedad requiere las siguientes características, EXCEPTO:|Existencia de recursos de diagnóstico y tratamiento de los sujetos positivos en la prueba.|Aceptable para la población.|Alta sensibilidad de la prueba.|Alta prevalencia de la enfermedad.|Alta especificidad de la prueba.|5|2013|0
196|Una prueba diagnóstica tiene una sensibilidad del 95%, ¿qué nos indica este resultado?|La prueba será muy específica.|La probabilidad que un resultado negativo corresponda realmente a un sano será alta.|La prueba dará, como máximo, un 5% de falsos positivos.|La probabilidad que un resultado positivo corresponda realmente a un enfermo será alta.|La prueba dará, como máximo, un 5% de falsos negativos.|5|2013|0
197|Juan tiene 60 años, fuma 2 paquetes/día desde hace años y refiere desde hace 6 meses tos persistente. Comprueba que su párpado izquierdo está más caído y que la pupila de ese ojo es más pequeña. Juan refiere que la parte medial de su mano izquierda está adormecida y con menos fuerza. Su médico comprueba la ptosis palpebral y la miosis izquierdas; comprueba que puede cerrar con fuerza ambos párpados simétricamente y que las dos pupilas responden correctamente a la luz. Además comprueba que no suda por la hemicara izquierda, que siente menos el pinchazo en la superficie interna de dicha mano y que tiene menos fuerza en la prensión de dicha mano. ¿A qué nivel tiene el enfermo lesionada la mano izquierda?|A nivel del pedúnculo cerebral ipsilateral tras la decusación de las pirámides bulbares, por invasión tumoral o absceso.|A nivel de las raíces espinales cervicales inferiores al entrar en el plexo braquial izquierdo, por invasión de un tumor del vértice pulmonar.|A nivel bulbar lateral izquierdo, por un infarto de la arteria cerebelosa postero-inferior.|A nivel del nervio mediano izquierdo, por invasión de un tumor del vértice pulmonar.|A algún nivel del tracto corticoespinal derecho, por metástasis pulmonar.|2|2013|0
198|La vena porta está formada por la confluencia de varias venas. De las respuestas que se ofrecen ¿Cuál es la verdadera?|Vena esplénica, vena mesentérica superior y vena mesentérica inferior.|Vena esplénica, venas pancreato-duodenales y vena omental izquierda.|Vena mesentérica inferior, vena gástrica izquierda y vena renal.|Vena mesentérica superior, vena gástrica izquierda y vena gastro-omental izquierda.|Venas pancreato-duodenales, vena mesentérica superior y vena mesentérica inferior.|1|2013|0
199|En relación al carcinoma inflamatorio de mama, ¿cuál de las siguientes afirmaciones es cierta?|Corresponde a formas de carcinoma in situ.|Muestra invasión de los linfáticos dérmicos por células tumorales.|Tiene abundante infiltrado inflamatorio en el estroma del tumor.|Tiene buen pronóstico.|Las células tumorales muestran infiltración epidérmica.|2|2013|0
200|Un niño de 14 años tiene una lesión permeativa en la diáfisis femoral. La biopsia muestra un crecimiento neoplásico difuso de células uniformes, redondas y de un tamaño ligeramente superior a un linfocito. El citoplasma es escaso y claro por la presencia de glucógeno. ¿Cuál es el diagnóstico?|Sarcoma de Ewing/Tumor neuroectodérmico primitivo.|Condroblastoma.|Osteosarcoma.|Linfoma.|Condrosarcoma.|1|2013|0
201|Acude a su consulta una mujer de 45 años con un bulto no palpable en la mama izquierda. La mamografía indica un BI-RADS 4 (sospechosa de malignidad). El ginecólogo decide operar sin hacer más pruebas y enviar la muestra intraoperatoriamente para que el patólogo le confirme la sospecha de carcinoma. ¿Cómo tiene que enviar la muestra?|En un envase lleno de suero fisiológico.|En formol.|Da igual en que medio fijador, lo importante es que se mande inmediatamente. |En fresco.|En alcohol.|4|2013|0
202|Cuál o cuáles son las principales características histopatológicas indicadoras de progresión crónica en una enfermedad glomerular:|Proliferación extracapilar con formación de semilunas.|Porcentaje de glomeruloesclerosis y fibrosis intersticial.|Nefritis intersticial asociada.|Proliferación endocapilar y presencia de leucocitos polimorfonucleares.|Presencia de arterioesclerosis.|2|2013|0
203|Usted desea calcular el aclaramiento de creatinina de un paciente de 75 años para ajustar la dosis del antibiótico que ha de prescribirle para su cuadro de infección respiratoria. La fórmula de Cockcroft-Gault permite la estimación del aclaramiento de creatinina usando lo siguientes parámetros.|Peso (en Kg), edad, superficie corporal y género.|Edad, etnia, género y creatinina plasmática.|Edad, etnia, peso (en Kg) y creatinina plasmática.|Edad, peso (en Kg), etnia y género.|Edad, peso (en Kg), género y creatinina plasmática.|5|2013|0
204|En una nefrona, el 60% del cloruro de sodio es reabsorbido en:|Túbulo contorneado distal.|Rama descendente del asa de Henle.|Túbulo proximal.|Rama ascendente del asa de Henle.|Conducto colector.|3|2013|0
205|¿Cual es base funcional a nivel medular del dolor referido?|La interrupción de las fibras del tracto espinotalámico lateral.|El bloqueo de substancia P desde las aferencias primarias.|La separación de la información medular de acuerdo al principio de divergencia.|La convergencia de información cutánea y visceral en neuronas de gama dinámica ancha.|La activación exclusiva de neuronas específicas de la nocicepción.|4|2013|0
206|Carmen y Pedro tienen 3 hijos, Enrique de 5 años, Isabel de 4 años y Pablo de 1 año. Recientemente han notado que Enrique tiene ciertos problemas para subir las escaleras y se cansa mucho cuando corre. Después de unas pruebas médicas, le han diagnosticado una enfermedad genética llamada distrofia muscular de Duchenne. Señale la alternativa correcta sobre el tipo probable de herencia de esta enfermedad.|Si tienen una nueva hija puede presentar la enfermedad.|El padre es el que ha transmitido la enfermedad.|Ambos padres le han trasmitido la enfermedad.|La madre es la que le ha transmitido la enfermedad.|Si tienen un nuevo hijo no puede heredar la enfermedad.|4|2013|0
